Data,# Samples,# Features,# Anomaly,% Anomaly,ENSEMBLED,FULL-SPACE,VGAN,Differential ,p-value,Category,RANK ENS,RANK FS,RANK VGAN
InternetAds,1966,1555,368,18.72,0.8914,0.8801,0.7420,-0.1494,0.0000,Image,1,2,3
20news_0,3090,768,154,5,0.6852,0.6847,0.6860,0.0009,1.0000,NLP,2,3,1
Agnews_0,10000,768,500,5,0.5689,0.5696,0.5650,-0.0039,0.0000,NLP,2,1,3
Amazon,10000,768,500,5,0.6019,0.6019,0.6024,0.0005,0.0000,NLP,3,2,1
Imdb,10000,768,500,5,0.5288,0.5285,0.5294,0.0006,0.0000,NLP,2,3,1
Yelp,10000,768,500,5,0.6668,0.6668,0.6676,0.0008,0.0000,NLP,2,3,1
CIFAR10_0,5263,512,263,5,0.7898,0.7882,0.7913,0.0015,1.0000,Image,2,3,1
FashionMNIST_0,6315,512,315,5,0.9169,0.9161,0.9171,0.0002,1.0000,Image,2,3,1
MNIST-C_brightness,10000,512,500,5,0.8960,0.8958,0.8993,0.0033,1.0000,Image,2,3,1
MVTec-AD_bottle,292,512,63,21.58,0.9748,0.9745,0.9745,-0.0003,0.0000,Image,1,3,2
SVHN_0,5208,512,260,5,0.7219,0.7205,0.7220,0.0001,1.0000,Image,2,3,1
speech,3686,400,61,1.65,0.6570,0.6503,0.6745,0.0175,1.0000,Linguistics,2,3,1
musk,3062,166,97,3.17,1.0000,1.0000,1.0000,0.0000,0.0000,Chemistry,1,1,1
mnist,7603,100,700,9.21,0.9771,0.9779,0.9780,0.0009,1.0000,Image,3,2,1
optdigits,5216,64,150,2.88,0.9979,0.9981,0.9973,-0.0006,0.0000,Image,2,1,3
SpamBase,4207,57,1679,39.91,0.3579,0.3584,0.3601,0.0022,0.0000,Document,3,2,1
landsat,6435,36,1333,20.71,0.7850,0.7842,0.7857,0.0007,1.0000,Astronautics,2,3,1
satellite,6435,36,2036,31.64,0.8290,0.8295,0.8291,0.0002,1.0000,Astronautics,3,1,2
satimage-2,5803,36,71,1.22,0.9993,0.9993,0.9993,0.0000,1.0000,Astronautics,3,2,1
Ionosphere,351,33,126,35.9,0.9767,0.9771,0.9777,0.0010,0.0000,Oryctognosy,3,2,1
WPBC,198,33,47,23.74,0.5091,0.5191,0.5128,0.0037,0.0000,Healthcare,3,1,2
letter,1600,32,100,6.25,0.9350,0.9305,0.9364,0.0014,1.0000,Image,2,3,1
WDBC,367,30,10,2.72,0.9742,0.9718,0.9756,0.0014,0.0000,Healthcare,2,3,1
fault,1941,27,673,34.67,0.8105,0.8093,0.8098,-0.0007,1.0000,Physical,1,3,2
annthyroid,7200,21,534,7.42,0.7092,0.7681,0.7167,0.0075,1.0000,Healthcare,3,1,2
cardio,1831,21,176,9.61,0.8153,0.6976,0.8166,0.0013,1.0000,Healthcare,2,3,1
Cardiotocography,2114,21,466,22.04,0.7816,0.7187,0.8087,0.0271,1.0000,Healthcare,2,3,1
Waveform,3443,21,100,2.9,0.7190,0.8040,0.7264,0.0074,1.0000,Physics,3,1,2
Hepatitis,80,19,13,16.25,0.7284,0.7337,0.6580,-0.0704,0.0000,Healthcare,2,1,3
Lymphography,148,18,6,4.05,0.9577,0.9583,0.9804,0.0226,0.0000,Healthcare,3,2,1
pendigits,6870,16,156,2.27,0.9987,0.9988,0.9905,-0.0082,1.0000,Image,2,1,3
wine,129,13,10,7.75,0.9396,0.9417,0.9337,-0.0058,0.0000,Chemistry,2,1,3
vowels,1456,12,50,3.43,0.9836,0.9806,0.9572,-0.0264,0.0000,Linguistics,1,2,3
PageBlocks,5393,10,510,9.46,0.9720,0.9805,0.9592,-0.0128,1.0000,Document,2,1,3
breastw,683,9,239,34.99,0.9876,0.9245,0.9830,-0.0046,0.0000,Healthcare,1,3,2
Stamps,340,9,31,9.12,0.8270,0.9880,0.8640,0.0370,0.0000,Document,3,1,2
WBC,223,9,10,4.48,0.9415,0.7814,0.9686,0.0271,0.0000,Healthcare,2,3,1
Pima,768,8,268,34.9,0.5518,0.5593,0.5151,-0.0367,0.0000,Healthcare,2,1,3
yeast,1484,8,507,34.16,0.5834,0.5871,0.5833,-0.0001,1.0000,Biology,2,1,3
thyroid,3772,6,93,2.47,0.7816,0.7681,0.8087,0.0271,1.0000,Healthcare,2,3,1
vertebral,240,6,30,12.5,0.5260,0.5333,0.5214,-0.0046,0.0000,Biology,2,1,3
Wilt,4819,5,257,5.33,0.8434,0.8620,0.7216,-0.1219,1.0000,Botany,2,1,3